period,strategy,total_return,cagr,annual_vol,sharpe,max_drawdown,n_days,years,best_day,worst_day,pct_positive_days,n_rebalances,avg_turnover
train,VN-Index B&H,0.011368087008042371,0.002283304846652623,0.2096178292091854,0.11645031630403527,-0.4526334144296001,1249,4.9563492063492065,0.04980051296665722,-0.0667444425203022,0.5596477181745396,,
train,EW 55 B&H,0.8453369325144588,0.13135259530123444,0.23221475119167653,0.6486122438109633,-0.4631671385534706,1251,4.964285714285714,0.057619053068135744,-0.06766032694960585,0.5859312549960032,,
train,Top 5 / sector cap 2 / Monthly,0.8887625528906942,0.13666594946250354,0.2679887218211149,0.6132938890044527,-0.5324817408016022,1251,4.964285714285714,0.06551177375899109,-0.07526975597606717,0.495603517186251,51.0,0.8562091503267973
train,Top 10 / sector cap 2 / Monthly,1.01290348771649,0.15133510234034953,0.2521857525431949,0.6860872436495744,-0.4253155692649999,1251,4.964285714285714,0.06714762338594103,-0.07526975597606717,0.5035971223021583,51.0,0.7886865857454092
train,Top 15 / sector cap 2 / Monthly,1.1308501053979385,0.16461751704515803,0.24458425934300337,0.7465251016278175,-0.40390435094476357,1251,4.964285714285714,0.06551177375899109,-0.07526975597606717,0.5035971223021583,51.0,0.7331356007826595
train,Top 10 / no sector cap / Monthly,0.9381457937760465,0.142590987910995,0.25649508158593026,0.649214921893941,-0.47067986757656555,1251,4.964285714285714,0.0695130298841444,-0.07348773266638536,0.5011990407673861,51.0,0.7297541238717709
train,Top 10 / sector cap 2 / Quarterly,0.3509698202875624,0.06247105854884927,0.2451221668590105,0.3707487086882295,-0.5123457759533397,1251,4.964285714285714,0.06908139976190167,-0.07526975597606717,0.47322142286171065,16.0,1.257638888888889
test,VN-Index B&H,0.7753520452150591,0.19214785501822162,0.18144647933136915,1.0601948282711762,-0.1810725457620524,823,3.265873015873016,0.06765969112674775,-0.06676885485988326,0.5710814094775213,,
test,EW 55 B&H,0.8188705154063309,0.20102067924218026,0.20196225530427703,1.0088292651037507,-0.21129717440148743,823,3.265873015873016,0.0688427518011627,-0.06872321910660763,0.574726609963548,,
test,Top 5 / sector cap 2 / Monthly,0.7405441327590674,0.18494174228576843,0.2252638184517695,0.8664638085232946,-0.25405042291844376,823,3.265873015873016,0.06907130417565482,-0.06949171157057636,0.5224787363304981,39.0,0.776923076923077
test,Top 10 / sector cap 2 / Monthly,0.7901556059948154,0.19518286673734653,0.2211521513776041,0.9174853011957,-0.22696217515535727,823,3.265873015873016,0.06916464427600234,-0.06943821297741805,0.543134872417983,39.0,0.6674399674399675
test,Top 15 / sector cap 2 / Monthly,0.8447233083733849,0.20622216355318002,0.21685898527368502,0.9737758068547772,-0.2226016093217493,823,3.265873015873016,0.06916464427600234,-0.06943821297741805,0.5504252733900364,39.0,0.6987155294847602
test,Top 10 / no sector cap / Monthly,0.7419054647681966,0.18522544201629176,0.22204869253037363,0.8770185305021609,-0.2071024218888287,823,3.265873015873016,0.06887308258412222,-0.06904305909056749,0.5358444714459295,39.0,0.5435897435897435
test,Top 10 / sector cap 2 / Quarterly,0.6204919197547984,0.1592929885401222,0.21335334589943136,0.8000505816185853,-0.2066032659149297,823,3.265873015873016,0.06916464427600234,-0.06943821297741805,0.503037667071689,13.0,1.0256410256410255
full,VN-Index B&H,0.8611627182984007,0.07847879254639878,0.19932842497660483,0.4794534700525906,-0.4526334144296001,2072,8.222222222222221,0.06765969112674775,-0.06676885485988326,0.5646718146718147,,
full,EW 55 B&H,2.4929250895579362,0.16412563712137263,0.22110227157091472,0.7989096162478143,-0.4631671385534706,2074,8.23015873015873,0.0688427518011627,-0.06872321910660763,0.5819672131147541,,
full,Top 5 / sector cap 2 / Monthly,2.2240917876111346,0.15285239195169997,0.25270928594875347,0.6902767757474464,-0.5359403105552643,2074,8.23015873015873,0.06907130417565482,-0.07526975597606717,0.5101253616200578,91.0,0.8260073260073261
full,Top 10 / sector cap 2 / Monthly,2.5339363999243574,0.1657778912243617,0.24120006945975536,0.7575871269640665,-0.43107907815857593,2074,8.23015873015873,0.06916464427600234,-0.07526975597606717,0.5231436837029894,91.0,0.7412436769579626
full,Top 15 / sector cap 2 / Monthly,2.8550421384222013,0.17816219322977034,0.2348507929580548,0.8166103624118571,-0.40569836981792723,2074,8.23015873015873,0.06916464427600234,-0.07526975597606717,0.526036644165863,91.0,0.723514519668366
full,Top 10 / no sector cap / Monthly,2.3109758930567015,0.15658328772528063,0.24424704412478743,0.7188195424391142,-0.47656309708003314,2074,8.23015873015873,0.0695130298841444,-0.07348773266638536,0.5188042430086789,91.0,0.6551369265654979
full,Top 10 / sector cap 2 / Quarterly,1.2099109842031028,0.10114124524244139,0.23532449513828876,0.5279448619300884,-0.5235842812131216,2074,8.23015873015873,0.06916464427600234,-0.07526975597606717,0.49951783992285437,30.0,1.1945502645502648
